Player,Game,FPTS  Fantasy Points,REC  Receptions,YDS  Receiving Yards,TGT  Targets,TD  Receiving Touchdowns,ATT  Rushing Attempts,YDS  Rushing Yards,TD  Rushing Touchdowns,Week,Pos
Travis Kelce,KC 42 - PIT 21,22,5,108,7,1,0,0,0,19,TE
Dawson Knox,BUF 47 - NE 17,20,5,89,5,2,0,0,0,19,TE
C.J. Uzomah,CIN 26 - LV 19,12,6,64,6,1,0,0,0,19,TE
Dallas Goedert,TB 31 - PHI 15,9,6,92,12,0,0,0,0,19,TE
Rob Gronkowski,TB 31 - PHI 15,9,5,31,6,1,0,0,0,19,TE
Dalton Schultz,SF 23 - DAL 17,8,7,89,8,0,0,0,0,19,TE
Darren Waller,CIN 26 - LV 19,7,7,76,12,0,0,0,0,19,TE
Tyler Higbee,LAR 34 - ARI 11,4,3,46,4,0,0,0,0,19,TE
Hunter Henry,BUF 47 - NE 17,3,1,30,4,0,0,0,0,19,TE
Zach Gentry,KC 42 - PIT 21,3,4,33,4,0,0,0,0,19,TE
Pat Freiermuth,KC 42 - PIT 21,2,4,25,5,0,0,0,0,19,TE
Zach Ertz,LAR 34 - ARI 11,2,3,21,4,0,0,0,0,19,TE
Cameron Brate,TB 31 - PHI 15,2,3,29,3,0,0,0,0,19,TE
George Kittle,SF 23 - DAL 17,1,1,18,3,0,0,0,0,19,TE
Foster Moreau,CIN 26 - LV 19,0,0,0,3,0,0,0,0,19,TE
Reggie Gilliam,BUF 47 - NE 17,0,1,4,1,0,0,0,0,19,TE
Darrell Daniels,LAR 34 - ARI 11,0,2,2,3,0,0,0,0,19,TE
O.J. Howard,TB 31 - PHI 15,0,1,3,1,0,0,0,0,19,TE
Blake Jarwin,SF 23 - DAL 17,0,0,0,1,0,0,0,0,19,TE
Noah Gray,KC 42 - PIT 21,0,0,0,2,0,0,0,0,19,TE
Blake Bell,KC 42 - PIT 21,0,1,3,1,0,0,0,0,19,TE
Jack Stoll,TB 31 - PHI 15,0,0,0,0,0,0,0,0,19,TE
Travis Kelce,KC 42 - PIT 21,22,5,108,7,1,0,0,0,19,TE
Dawson Knox,BUF 47 - NE 17,20,5,89,5,2,0,0,0,19,TE
C.J. Uzomah,CIN 26 - LV 19,12,6,64,6,1,0,0,0,19,TE
Dallas Goedert,TB 31 - PHI 15,9,6,92,12,0,0,0,0,19,TE
Rob Gronkowski,TB 31 - PHI 15,9,5,31,6,1,0,0,0,19,TE
Dalton Schultz,SF 23 - DAL 17,8,7,89,8,0,0,0,0,19,TE
Darren Waller,CIN 26 - LV 19,7,7,76,12,0,0,0,0,19,TE
Tyler Higbee,LAR 34 - ARI 11,4,3,46,4,0,0,0,0,19,TE
Hunter Henry,BUF 47 - NE 17,3,1,30,4,0,0,0,0,19,TE
Zach Gentry,KC 42 - PIT 21,3,4,33,4,0,0,0,0,19,TE
Pat Freiermuth,KC 42 - PIT 21,2,4,25,5,0,0,0,0,19,TE
Zach Ertz,LAR 34 - ARI 11,2,3,21,4,0,0,0,0,19,TE
Cameron Brate,TB 31 - PHI 15,2,3,29,3,0,0,0,0,19,TE
George Kittle,SF 23 - DAL 17,1,1,18,3,0,0,0,0,19,TE
Foster Moreau,CIN 26 - LV 19,0,0,0,3,0,0,0,0,19,TE
Reggie Gilliam,BUF 47 - NE 17,0,1,4,1,0,0,0,0,19,TE
Darrell Daniels,LAR 34 - ARI 11,0,2,2,3,0,0,0,0,19,TE
O.J. Howard,TB 31 - PHI 15,0,1,3,1,0,0,0,0,19,TE
Blake Jarwin,SF 23 - DAL 17,0,0,0,1,0,0,0,0,19,TE
Noah Gray,KC 42 - PIT 21,0,0,0,2,0,0,0,0,19,TE
Blake Bell,KC 42 - PIT 21,0,1,3,1,0,0,0,0,19,TE
Jack Stoll,TB 31 - PHI 15,0,0,0,0,0,0,0,0,19,TE
Travis Kelce,KC 42 - BUF 36,23,8,96,9,1,0,0,0,20,TE
C.J. Uzomah,CIN 19 - TEN 16,14,7,71,8,0,0,0,0,20,TE
Rob Gronkowski,LAR 30 - TB 27,12,4,85,11,0,0,0,0,20,TE
George Kittle,SF 13 - GB 10,10,4,63,6,0,0,0,0,20,TE
Tyler Higbee,LAR 30 - TB 27,9,4,51,7,0,0,0,0,20,TE
Kendall Blanton,LAR 30 - TB 27,9,2,18,2,1,0,0,0,20,TE
Noah Gray,KC 42 - BUF 36,3,2,14,2,0,0,0,0,20,TE
Reggie Gilliam,KC 42 - BUF 36,2,2,8,2,0,0,0,0,20,TE
Dawson Knox,KC 42 - BUF 36,2,2,9,4,0,0,0,0,20,TE
Cameron Brate,LAR 30 - TB 27,1,1,9,3,0,0,0,0,20,TE
O.J. Howard,LAR 30 - TB 27,1,1,7,1,0,0,0,0,20,TE
Charlie Woerner,SF 13 - GB 10,0,0,0,1,0,0,0,0,20,TE
Dominique Dafney,SF 13 - GB 10,0,0,0,2,0,0,0,0,20,TE
Josiah Deguara,SF 13 - GB 10,0,0,0,1,0,0,0,0,20,TE
Marcedes Lewis,SF 13 - GB 10,0,1,0,1,0,0,0,0,20,TE
Anthony Firkser,CIN 19 - TEN 16,0,0,0,1,0,0,0,0,20,TE
Kendall Blanton,LAR 20 - SF 17,10,5,57,5,0,0,0,0,21,TE
Tyler Higbee,LAR 20 - SF 17,3,2,18,3,0,0,0,0,21,TE
Drew Sample,CIN 27 - KC 24,1,1,4,2,0,0,0,0,21,TE
C.J. Uzomah,CIN 27 - KC 24,0,0,0,2,0,0,0,0,21,TE
Brycen Hopkins,LAR 23 - CIN 20,8,4,47,4,0,0,0,0,23,TE
C.J. Uzomah,LAR 23 - CIN 20,3,2,11,2,0,0,0,0,23,TE
