Rank,Team,Tm_Abr,Week
1.0,Buffalo Bills,BUF,17
2.0,New England Patriots,NE,17
3.0,Denver Broncos,DEN,17
4.0,New Orleans Saints,NO,17
5.0,Tampa Bay Buccaneers,TAM,17
6.0,Tennessee Titans,TEN,17
7.0,Dallas Cowboys,DAL,17
8.0,Kansas City Chiefs,KAN,17
9.0,San Francisco 49ers,SFO,17
10.0,Indianapolis Colts,IND,17
11.0,Arizona Cardinals,ARI,17
12.0,Seattle Seahawks,SEA,17
13.0,Green Bay Packers,GNB,17
14.0,Cleveland Browns,CLE,17
15.0,Los Angeles Rams,LAR,17
16.0,Miami Dolphins,MIA,17
17.0,Cincinnati Bengals,CIN,17
18.0,Philadelphia Eagles,PHI,17
19.0,Baltimore Ravens,BAL,17
20.0,Pittsburgh Steelers,PIT,17
21.0,Carolina Panthers,CAR,17
22.0,Chicago Bears,CHI,17
23.0,New York Giants,NYG,17
24.0,Minnesota Vikings,MIN,17
25.0,Washington Football Team,,17
26.0,Las Vegas Raiders,LVR,17
27.0,Houston Texans,HOU,17
28.0,Jacksonville Jaguars,JAX,17
29.0,Atlanta Falcons,ATL,17
30.0,Los Angeles Chargers,LAC,17
31.0,Detroit Lions,DET,17
32.0,New York Jets,NYJ,17
